kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_parm_prov,koi_model_snr,koi_count,koi_tce_plnt_num,koi_tce_delivname,koi_trans_mod,koi_model_chisq,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_sparprov,ra,dec
10991114,K04374.01,,CANDIDATE,Done,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.703867410,0,0.0330,1.41000,1.257E+02,0.010182,11.47205,LS+MCMC,0.86,0.0446,89.91,1012.0,247.20,20.260000,q1_q17_dr25_koi,13.10,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5496.00,4.592,-0.2400,0.7760,0.8690,,q1_q17_dr25_stellar,298.183410,48.443810
10991239,K03178.01,,FALSE POSITIVE,Done,FALSE POSITIVE,,1,0,0,0,q1_q17_dr25_sup_koi,,0.523629052,0,0.0450,3.44300,1.22E+02,0.009546,0.16260,MCMC,46.33,0.0154,88.24,9801.0,2181689.59,1.331000,q1_q16_koi,61.40,1,,,Mandel and Agol (2002 ApJ 580 171),,4136.00,1.392,-0.2000,44.4480,1.7770,,stellar_q1_q16,298.235170,48.497890
10991389,K05850.01,,CANDIDATE,Done,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,303.226376000,0,0.1097,1.80200,1.464E+03,0.035058,476.40961,MCMC,3.66,0.8778,89.95,274.0,1.33,1323.000000,q1_q17_dr24_koi,12.70,1,1,q1_q17_dr24_tce,Mandel and Agol (2002 ApJ 580 171),,5952.00,4.469,-0.1600,0.9550,0.9820,,stellar_q1_q16,298.291810,48.465691
10991431,K05851.01,,CANDIDATE,Done,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,322.221973000,0,0.2141,7.53100,4.656E+02,0.019817,6.30710,MCMC,2.18,0.9233,89.95,277.0,1.40,325.900000,q1_q16_koi,8.90,1,1,q1_q16_tce,Mandel and Agol (2002 ApJ 580 171),,6026.00,4.437,-0.1400,1.0060,1.0070,,stellar_q1_q16,298.307250,48.482460
10991989,K07398.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,0,1,0,0,q1_q17_dr25_sup_koi,PLANET_IN_STAR---MOD_SEC_DV---MOD_SEC_ALT---DEEP_V_SHAPED---HAS_SEC_TCE---CENT_SATURATED,0.974477904,0,1.2520,2.69834,8.8469E+03,0.377415,0.17041,LS+MCMC,618.37,0.0293,52.24,5205.0,172916.96,2.045200,q1_q17_dr25_koi,801.70,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5210.00,2.631,0.2100,15.0040,3.5120,,q1_q17_dr25_stellar,298.527130,48.418591
10992011,K04025.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,0,1,1,1,q1_q17_dr25_sup_koi,MOD_SEC_DV---MOD_SEC_ALT---HAS_SEC_TCE---CENT_RESOLVED_OFFSET---HALO_GHOST---EPHEM_MATCH,0.974479091,0,0.2240,1.86600,2.212E+02,0.013336,1.26657,LS+MCMC,1.19,0.0177,86.78,1513.0,1239.32,3.991000,q1_q17_dr25_koi,25.30,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5043.00,4.502,0.0400,0.8190,0.7760,,q1_q17_dr25_stellar,298.535490,48.419479
10992733,K07399.01,,FALSE POSITIVE,Done,FALSE POSITIVE,0.0000,0,1,0,0,q1_q17_dr25_sup_koi,MOD_SEC_ALT---MOD_ODDEVEN_ALT---HAS_SEC_TCE---CENT_NOFITS,18.525917446,0,0.4150,5.90560,4.5566E+05,0.665088,3.18436,LS+MCMC,64.42,0.1361,89.38,618.0,34.58,38.658000,q1_q17_dr25_koi,2246.90,1,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5492.00,4.533,0.2000,0.8870,0.9780,,q1_q17_dr25_stellar,298.805570,48.471989
11013201,K00972.01,,CONFIRMED,Done,CANDIDATE,0.6320,0,0,0,0,q1_q17_dr25_sup_koi,CENT_SATURATED,13.118962443,0,0.0420,4.30450,3.722E+02,0.017826,1.46058,LS+MCMC,8.25,0.1376,89.90,1768.0,2310.43,23.685800,q1_q17_dr25_koi,267.40,2,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,7221.00,3.488,-0.1800,4.2400,2.0180,,q1_q17_dr25_stellar,282.000310,48.542221
11013201,K00972.02,,CANDIDATE,Done,CANDIDATE,0.0000,0,0,0,0,q1_q17_dr25_sup_koi,LPP_ALT---CENT_SATURATED,7.821873280,0,0.0050,3.84170,4.22E+01,0.006005,1.18707,LS+MCMC,2.78,0.0975,89.98,2101.0,4601.71,15.658000,q1_q17_dr25_koi,37.20,2,2,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,7221.00,3.488,-0.1800,4.2400,2.0180,,q1_q17_dr25_stellar,282.000310,48.542221
11014932,K01432.01,Kepler-299 c,CONFIRMED,Done,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,6.885952220,0,0.9530,4.14800,4.285E+02,0.024611,0.04586,LS+MCMC,2.68,0.0685,78.69,946.0,189.35,4.860000,q1_q17_dr25_koi,34.50,4,1,q1_q17_dr25_tce,Mandel and Agol (2002 ApJ 580 171),,5616.00,4.394,-0.0200,0.9990,0.9030,,q1_q17_dr25_stellar,283.206970,48.580502
